permno date
13316 2019-05-31
92330 2010-02-08
90222 2007-01-08
85816 2004-12-09
86307 2004-06-28
89289 2013-11-14
12402 2011-04-11
89431 2008-02-05
45110 2004-02-25
50606 2015-09-23
12402 2016-12-12
90861 2006-04-03
80369 2006-09-25
90014 2006-05-23
86433 2004-04-22
77052 2004-11-01
46922 2016-10-19
89306 2004-04-13
12169 2004-02-03
14167 2016-10-31
16278 2019-02-22
17692 2019-05-15
91675 2008-02-27
80679 2011-05-26
77433 2004-01-28
12356 2017-11-02
13294 2013-03-11
91661 2007-10-15
13909 2014-05-14
75077 2006-02-14
58608 2006-03-16
52919 2008-08-26
83317 2006-05-03
72696 2013-04-29
27756 2010-06-30
12691 2012-05-30
62834 2006-02-02
77042 2004-05-27
92018 2012-04-19
77517 2007-08-09
93323 2012-11-14
91675 2007-12-10
88498 2006-12-05
10507 2014-08-07
91380 2005-10-24
16282 2018-12-06
85336 2007-04-23
89001 2004-02-18
89431 2004-06-15
80997 2005-08-18
91022 2006-08-21
14447 2014-08-18
28484 2014-05-01
87585 2006-01-24
13292 2016-05-31
90323 2005-03-28
76653 2007-02-07
88635 2007-03-26
12398 2011-04-11
78818 2006-01-05
82831 2013-12-12
18150 2019-03-13
89431 2006-05-03
13227 2012-09-24
50606 2014-11-04
90331 2006-01-10
10507 2006-10-17
10909 2019-01-14
82831 2014-03-28
14164 2015-03-23
12169 2005-11-02
88377 2007-06-29
90802 2006-08-29
14005 2016-02-22
82643 2012-07-27
91401 2007-08-13
92558 2011-02-03
78877 2016-08-23
78963 2015-09-30
90323 2011-02-02
82643 2016-05-20
13292 2015-01-12
78963 2015-06-25
13932 2016-06-22
92317 2008-05-05
14167 2014-11-11
75077 2006-04-13
92558 2010-08-23
14017 2015-08-14
86433 2004-04-12
12440 2015-01-28
82831 2017-11-02
84549 2005-10-10
45110 2004-04-13
12789 2014-03-17
87637 2011-08-15
46922 2014-04-23
10163 2007-11-06
77257 2005-05-16
92018 2008-05-29
87606 2005-05-03
12356 2011-07-01
51457 2012-08-01
76653 2008-05-01
13316 2016-07-27
76695 2015-04-10
81098 2005-04-13
12169 2005-05-25
51457 2012-06-14
77339 2004-12-28
12637 2013-08-09
86433 2004-01-26
54181 2008-03-14
84808 2015-07-23
14423 2018-11-08
14423 2018-10-22
92497 2013-02-01
77163 2008-09-25
92806 2009-05-19
91364 2006-10-03
84808 2015-03-24
90413 2006-06-20
11481 2019-07-22
75228 2005-07-25
16654 2018-07-24
27756 2016-02-24
82643 2013-04-25
88748 2008-06-03
84549 2005-10-27
58608 2005-03-15
10984 2006-02-03
11481 2012-11-13
51457 2012-10-19
64152 2004-06-09
71686 2004-06-21
80000 2006-10-03
16282 2018-03-20
12789 2014-08-11
33603 2005-10-10
16654 2018-12-07
14004 2014-08-13
10163 2005-06-28
27748 2007-05-11
11415 2008-06-19
16654 2019-07-25
27756 2014-07-29
77433 2004-10-27
48960 2005-08-11
12637 2014-09-10
15003 2017-05-10
37807 2007-04-10
57780 2005-04-11
12742 2014-02-13
15003 2016-02-01
84599 2006-08-03
12169 2005-10-25
10984 2006-01-30
16398 2019-07-23
77279 2012-10-23
12402 2018-05-17
92183 2011-02-01
13909 2014-09-19
50606 2014-08-05
12440 2015-01-21
12356 2012-09-17
86433 2004-01-27
85336 2007-07-30
11481 2011-12-02
14017 2014-08-20
14719 2015-05-11
45110 2005-01-21
84599 2005-03-16
14167 2016-12-15
81912 2018-05-01
84599 2004-05-17
90802 2006-10-11
54181 2009-02-11
12903 2012-05-14
84036 2006-03-06
93323 2013-03-18
93038 2010-08-12
84639 2004-03-01
13250 2014-03-03
77659 2014-02-20
83162 2004-04-27
16174 2017-03-16
23085 2017-09-26
13874 2014-02-05
58608 2007-02-21
91514 2010-10-22
13909 2017-05-17
12063 2007-09-04
75581 2006-08-14
77339 2004-05-25
87795 2004-11-18
17883 2019-07-10
10909 2011-09-15
72696 2007-10-25
13627 2016-09-08
77659 2014-07-07
89431 2009-02-17
13227 2012-11-07
89306 2004-11-18
81019 2006-11-03
77517 2004-11-04
80679 2006-03-02
88635 2011-07-18
89289 2013-08-23
78963 2018-05-30
84605 2004-10-15
91364 2007-07-19
11481 2013-03-14
90323 2011-08-31
87254 2005-10-13
77006 2007-03-08
90911 2006-08-01
52919 2008-09-08
82831 2018-01-30
77517 2004-10-25
77339 2005-04-22
10909 2016-02-25
87637 2007-04-17
85933 2005-04-01
89797 2005-03-21
84036 2006-12-12
14164 2014-09-04
76797 2004-01-30
48960 2006-03-13
52919 2008-09-09
10163 2006-12-18
80185 2014-08-01
16654 2018-05-21
76898 2006-08-15
86725 2010-07-27
88635 2010-04-28
90613 2007-11-06
76695 2017-04-04
15176 2017-06-13
11415 2006-06-26
77433 2004-07-28
11481 2016-08-25
78881 2015-09-14
93323 2010-07-20
13932 2014-01-28
84599 2006-03-08
11481 2009-03-13
77517 2005-05-10
80369 2006-10-10
90699 2011-05-17
88635 2007-09-17
91675 2007-09-07
77279 2009-01-05
15176 2017-07-13
50606 2015-07-31
64152 2004-05-06
76366 2006-06-27
12691 2011-11-09
77006 2006-02-21
87585 2005-12-01
91756 2007-11-13
89769 2005-10-19
89431 2005-03-08
84543 2004-02-26
13644 2014-05-12
52919 2008-08-21
37807 2015-06-10
92192 2008-04-15
88539 2006-03-06
91370 2009-08-04
92099 2008-02-05
14004 2014-07-07
17900 2019-02-20
12402 2018-05-03
85336 2007-05-01
12575 2018-11-30
78818 2007-08-10
80121 2005-04-01
77659 2010-06-29
89864 2004-10-06
12169 2008-06-23
84104 2007-05-21
37807 2006-10-18
93323 2013-02-06
80165 2012-01-31
27756 2013-09-09
83162 2006-01-31
14005 2015-11-19
84639 2004-08-30
89431 2007-08-23
80000 2006-10-05
12456 2011-08-16
92183 2013-05-24
81019 2004-04-21
23085 2017-07-27
80185 2015-03-09
92497 2014-04-25
93141 2013-05-23
81912 2018-01-31
15024 2015-09-14
16268 2016-12-02
89431 2006-02-06
12347 2016-03-21
57780 2005-04-12
50606 2015-02-10
46922 2015-03-19
77257 2006-05-24
84075 2005-08-17
89431 2007-11-12
62500 2006-08-28
92197 2010-02-08
12789 2013-09-25
76366 2006-03-06
76371 2007-10-17
77659 2012-06-22
13250 2014-05-15
80185 2015-07-13
75077 2005-09-02
11481 2019-05-07
72696 2007-01-17
45110 2004-12-07
14017 2013-10-28
89431 2008-11-14
92558 2009-04-27
88635 2013-02-14
10984 2004-07-07
89001 2004-09-03
12440 2014-12-08
16268 2018-08-29
16966 2018-11-19
79121 2009-03-16
91514 2018-04-18
91675 2009-06-15
84546 2012-11-28
76695 2010-02-11
87585 2005-11-21
84808 2015-02-13
83929 2009-12-07
90802 2007-07-10
78963 2014-08-27
90323 2008-01-29
10119 2005-10-26
91675 2013-04-25
92216 2007-11-06
89431 2007-05-08
84605 2004-07-21
14164 2014-11-24
15003 2015-03-25
76366 2005-11-14
52919 2008-07-29
83317 2007-04-02
87637 2012-05-21
88377 2007-07-12
90014 2006-05-08
17900 2019-03-27
91514 2014-05-19
11481 2015-03-13
84122 2006-10-31
87507 2006-05-01
14167 2014-05-19
92216 2008-06-03
62500 2007-06-04
13316 2018-05-14
88635 2012-07-31
77042 2004-05-13
77662 2005-09-14
83929 2010-04-19
50032 2005-05-17
88423 2006-10-03
89431 2006-07-28
90699 2011-05-06
23085 2015-02-03
12742 2016-08-19
93323 2011-04-26
16149 2017-01-23
13627 2013-09-24
80165 2007-11-12
90014 2006-06-01
16268 2019-01-14
14423 2018-12-18
82549 2005-01-25
82831 2013-11-22
14005 2013-11-22
78956 2005-10-04
81098 2005-07-22
91470 2007-05-01
92497 2011-05-10
90014 2005-01-25
80679 2006-11-14
83821 2004-02-03
27756 2015-03-09
10119 2004-10-21
65083 2004-03-05
77659 2015-12-22
84599 2007-05-07
88635 2014-05-07
92938 2010-12-08
88423 2007-09-14
89276 2005-01-10
14004 2014-09-17
16654 2019-04-30
17859 2019-05-08
82643 2012-01-31
80560 2013-05-21
14423 2016-08-29
15357 2016-08-26
90699 2008-03-14
84104 2007-01-19
12356 2012-09-24
80560 2014-05-06
80679 2012-03-01
78818 2007-08-09
90901 2006-10-17
84808 2014-04-22
83693 2005-11-15
14005 2014-02-03
91675 2008-04-08
84546 2012-11-05
89289 2016-01-05
12169 2005-12-15
91401 2007-08-14
76371 2007-04-30
92216 2008-10-06
51457 2012-05-01
52919 2008-11-07
14719 2015-01-12
54181 2010-02-09
50606 2015-11-23
52919 2008-10-07
10108 2005-02-15
14834 2016-06-29
50032 2004-06-02
77798 2010-11-15
15003 2016-09-19
12456 2011-08-15
13644 2013-06-04
85675 2017-08-07
91400 2007-01-23
91514 2016-04-20
10078 2009-05-01
84122 2006-09-18
61065 2005-03-23
80740 2004-06-30
50606 2015-12-10
80560 2013-12-16
83821 2004-01-27
12789 2014-07-07
12575 2014-02-06
10163 2005-10-10
79121 2009-06-04
50606 2015-03-16
87043 2018-02-06
90494 2018-09-17
16279 2018-01-30
87637 2007-07-17
11481 2011-10-05
12356 2011-02-28
76695 2010-07-27
82643 2015-10-19
76653 2006-07-26
16073 2017-11-14
10507 2013-08-08
10909 2017-05-23
85077 2018-12-13
12169 2005-12-19
91364 2007-05-11
23085 2017-04-25
80560 2006-05-02
33603 2007-10-01
50032 2005-03-28
82643 2011-10-18
77279 2014-04-15
84104 2005-01-12
93323 2011-10-20
76129 2006-07-06
86725 2007-02-27
85933 2005-02-17
12347 2015-06-25
16282 2018-07-27
18150 2019-02-13
64152 2004-03-10
10909 2014-12-04
76695 2015-07-28
36469 2008-06-16
77279 2012-10-24
83650 2004-10-05
77659 2018-05-14
82535 2005-03-01
89289 2015-11-19
10119 2006-04-26
10163 2004-04-23
75998 2007-03-26
78963 2015-11-24
89306 2004-11-10
90323 2008-12-04
92192 2009-11-23
92424 2010-09-24
75581 2006-09-12
65083 2004-06-07
16654 2019-05-01
92330 2011-02-08
78963 2018-08-29
11481 2008-10-30
23085 2017-09-28
76695 2010-04-27
50606 2014-11-21
77007 2014-03-13
14719 2015-03-04
92935 2009-12-09
12691 2013-01-07
92938 2010-12-06
82643 2010-11-01
90323 2010-11-16
50606 2015-03-23
14578 2014-11-11
86725 2012-11-01
91380 2004-04-07
77517 2005-02-22
93124 2012-05-24
77204 2004-05-24
13909 2018-03-09
82831 2014-08-15
89431 2005-08-08
89831 2007-05-23
13932 2016-07-28
84599 2005-10-26
90861 2007-03-19
86567 2004-01-28
33603 2007-01-16
90911 2007-10-31
91675 2010-10-14
79121 2009-07-08
11481 2015-08-07
15709 2017-11-17
12637 2013-09-16
92558 2012-02-23
80740 2004-08-09
90222 2007-08-22
88377 2007-05-14
86725 2008-10-28
54181 2009-03-05
89289 2015-02-17
12063 2007-06-01
10163 2004-11-12
12637 2014-01-09
91401 2007-03-19
84075 2005-12-12
72128 2010-04-12
12637 2013-05-16
50606 2016-03-22
84808 2016-04-25
81661 2004-07-12
78963 2016-10-03
90331 2006-04-17
88748 2007-10-16
92324 2008-08-07
13627 2014-08-29
90014 2007-01-08
83226 2004-01-30
16174 2018-11-05
12575 2014-03-21
17859 2019-06-14
88539 2006-05-31
16268 2019-06-14
89769 2005-05-18
12637 2014-06-11
12789 2011-08-19
11415 2006-09-21
86725 2012-01-17
10984 2004-10-04
75077 2004-05-03
83162 2004-06-08
14441 2019-06-13
14719 2015-02-23
14290 2015-01-16
92299 2012-08-09
92806 2009-10-21
12575 2014-03-27
16279 2019-04-30
14004 2014-04-28
14164 2015-03-17
91514 2016-10-19
16654 2019-05-03
84599 2006-05-15
90911 2005-12-20
13932 2015-06-01
16597 2017-06-22
12347 2011-04-18
11481 2019-01-07
50606 2014-04-16
52919 2008-09-03
90802 2005-12-20
77662 2006-07-10
16966 2018-06-07
10108 2004-07-21
75857 2004-02-09
89001 2004-01-27
90911 2007-05-08
10725 2004-07-28
89431 2008-08-07
16268 2017-06-08
75228 2005-04-13
88342 2004-04-12
14004 2014-12-08
14005 2015-05-04
13292 2014-05-01
13367 2016-03-03
78963 2016-09-28
16614 2018-03-20
88539 2004-12-28
15359 2019-04-09
87795 2005-01-13
80185 2019-03-11
10119 2006-11-01
13294 2012-10-09
16052 2016-07-11
78963 2013-11-26
91756 2008-04-03
77433 2007-04-27
12637 2014-09-02
17671 2012-05-22
84808 2013-10-22
87254 2005-10-18
92295 2008-04-23
92018 2009-11-02
16587 2018-08-20
13909 2015-05-12
14099 2014-03-25
50606 2016-03-01
62906 2006-06-12
11481 2010-05-07
48960 2006-04-17
93141 2013-08-06
12356 2016-05-18
77517 2006-07-18
92018 2011-12-16
14290 2015-01-12
13627 2013-04-17
87043 2018-02-15
89431 2008-05-05
76653 2007-08-13
11481 2008-09-23
80469 2005-04-04
91954 2014-04-07
82831 2014-10-15
80679 2004-06-28
12789 2011-10-26
76197 2004-01-15
72696 2007-04-25
75857 2004-08-05
82831 2018-10-10
48960 2006-02-06
12347 2015-04-08
12456 2012-03-16
91380 2005-04-25
50606 2015-05-27
12789 2014-08-25
89431 2005-05-23
92192 2009-01-14
13874 2014-07-29
72696 2007-01-30
45110 2004-07-29
84808 2015-04-20
16398 2018-12-11
14017 2014-11-20
52919 2008-11-10
91675 2013-03-19
91284 2006-10-05
17035 2018-03-14
82549 2005-02-15
91514 2019-01-23
12169 2004-04-21
92183 2010-06-08
82535 2004-02-02
12356 2014-08-12
77204 2004-04-05
41487 2005-02-15
89431 2007-02-05
90616 2006-03-03
90802 2006-07-11
84599 2006-07-27
10163 2005-04-18
37807 2007-11-27
50606 2015-02-09
89275 2004-02-09
12789 2011-12-20
91954 2015-01-16
12347 2014-10-16
58608 2005-11-03
79613 2004-05-14
72696 2014-10-27
90222 2006-04-11
80029 2004-01-22
62500 2006-12-05
14433 2015-06-30
91380 2005-08-01
80560 2007-10-08
75581 2006-07-27
36469 2008-09-08
80185 2017-04-28
14719 2015-01-28
11481 2013-05-10
27756 2010-10-26
86786 2010-03-01
27756 2016-04-26
16654 2018-07-26
71686 2004-10-28
77517 2005-01-24
91675 2010-10-25
92558 2013-10-01
50606 2015-03-13
83161 2005-10-27
10108 2004-10-20
12169 2005-09-22
89431 2009-08-04
13292 2016-01-26
89431 2008-11-12
10507 2014-06-02
77257 2006-03-22
82643 2013-07-30
77798 2010-09-21
86725 2011-10-24
84599 2007-03-08
14426 2018-06-21
78963 2017-04-07
89001 2004-09-13
89289 2015-01-06
90861 2006-06-29
27756 2013-10-29
92216 2008-05-20
13644 2014-07-10
12356 2013-04-01
15176 2016-06-23
77662 2007-03-22
84599 2005-11-08
78083 2004-09-24
52919 2008-08-12
86786 2006-02-28
14005 2013-10-04
78963 2017-08-30
10909 2011-04-20
77659 2019-07-22
82831 2018-02-27
88635 2011-08-02
91370 2006-11-06
19992 2004-04-21
92295 2007-11-01
92183 2014-06-20
84808 2013-10-23
14017 2014-08-11
13909 2013-12-09
81912 2018-12-20
12169 2006-06-09
12637 2013-05-13
78963 2013-02-28
80679 2012-08-01
82535 2004-10-22
58608 2005-05-10
92216 2009-09-09
90613 2007-04-30
80185 2015-05-15
51706 2010-04-27
15428 2017-09-26
37807 2013-12-16
17859 2019-06-10
90014 2006-06-30
84639 2004-07-16
89431 2010-02-01
90699 2008-01-16
90861 2006-10-02
76653 2008-06-19
86245 2006-05-24
84075 2006-03-06
83929 2009-09-21
91756 2007-11-05
14167 2015-07-27
46922 2017-01-30
83693 2006-01-25
89289 2015-11-05
90616 2006-05-30
86725 2009-09-02
16657 2018-11-19
77659 2013-09-26
75077 2006-07-10
50606 2015-11-12
17046 2019-06-19
78963 2013-05-29
12169 2006-01-09
12575 2015-05-14
76371 2007-09-18
86725 2008-12-16
76898 2006-09-22
10119 2007-05-15
17046 2019-01-23
86786 2007-10-01
78963 2015-05-04
78818 2006-06-27
78963 2018-11-01
84808 2015-08-12
10108 2005-07-21
89289 2015-05-19
12575 2018-12-17
62500 2007-04-19
27756 2010-09-29
90699 2005-12-20
84036 2006-12-08
78818 2004-10-01
88423 2007-01-29
10078 2010-01-26
12575 2013-04-25
13644 2013-09-16
77517 2004-02-17
12169 2005-01-18
16597 2018-05-15
13294 2013-07-11
80679 2004-12-14
16597 2018-09-27
85933 2005-03-15
84639 2006-10-27
89289 2014-10-06
92935 2015-10-07
12356 2011-07-27
82831 2013-12-18
16674 2018-12-31
87089 2010-02-01
14447 2016-07-28
81912 2019-01-28
76653 2006-02-07
78083 2004-12-29
88539 2004-06-29
92330 2010-04-14
80369 2005-01-14
90331 2007-07-13
72696 2007-07-26
77659 2017-08-03
10507 2014-09-29
15428 2016-07-28
16654 2018-11-05
12456 2011-11-17
13644 2013-09-23
80469 2006-08-03
11481 2016-11-09
85431 2004-01-27
90911 2007-11-07
75077 2005-02-15
92497 2014-10-22
78963 2017-02-22
14506 2016-06-02
88539 2006-05-10
91514 2011-05-24
43617 2004-07-13
77517 2004-08-03
88635 2011-12-21
90323 2007-03-30
14697 2015-05-11
43617 2005-11-09
80165 2012-02-01
89306 2004-02-11
13932 2016-06-01
13627 2013-05-23
88635 2006-10-23
77662 2006-05-01
14017 2015-10-16
77662 2007-04-17
27756 2016-02-17
80560 2006-06-12
17859 2019-05-22
14004 2014-06-10
